id,created,modified,logo,safa_id,name,acronym,website,headquarters,description,association_id,region_id
50,2025-06-09 12:53:29.575284,2025-06-09 12:53:29.575311,,DIN05,SAFA CAMDEBOO LFA,,,,,4,8
51,2025-06-09 12:53:29.577820,2025-06-09 12:53:29.577854,,WHQOF,SAFA IKQWEZI LFA,,,,,4,8
52,2025-06-09 12:53:29.580948,2025-06-09 12:53:29.580977,,HBX2E,SAFA KOUGA LFA,,,,,4,8
53,2025-06-09 12:53:29.583539,2025-06-09 12:53:29.583565,,O4HKK,SAFA KOUKAMA LFA,,,,,4,8
54,2025-06-09 12:53:29.586546,2025-06-09 12:53:29.586580,,SCMOB,SAFA MAKANA LFA,,,,,4,8
55,2025-06-09 12:53:29.589683,2025-06-09 12:53:29.589721,,WGF87,SAFA NDLAMBE LFA,,,,,4,8
56,2025-06-09 12:53:29.592892,2025-06-09 12:53:29.592922,,YCDEK,SAFA SUNDAY`S RIVER LFA,,,,,4,8
57,2025-06-09 12:53:29.598764,2025-06-09 12:53:29.598784,,G7OEV,SAFA MAFUBE LFA,,,,,4,9
58,2025-06-09 12:53:29.602475,2025-06-09 12:53:29.602524,,TIJD7,SAFA METSIMAHOLO LFA,,,,,4,9
59,2025-06-09 12:53:29.606632,2025-06-09 12:53:29.606675,,6IJU4,SAFA MOQHAKA LFA,,,,,4,9
60,2025-06-09 12:53:29.609074,2025-06-09 12:53:29.609095,,STDZ4,SAFA NGWATHE LFA,,,,,4,9
61,2025-06-09 12:53:29.614119,2025-06-09 12:53:29.614139,,E85M3,SAFA MASILONYANA LFA,,,,,4,10
62,2025-06-09 12:53:29.616859,2025-06-09 12:53:29.616885,,28KF0,SAFA MATJHABENG LFA,,,,,4,10
63,2025-06-09 12:53:29.620027,2025-06-09 12:53:29.620054,,EQV06,SAFA NALA LFA,,,,,4,10
64,2025-06-09 12:53:29.622489,2025-06-09 12:53:29.622529,,XOA0G,SAFA TOKOLOGO LFA,,,,,4,10
65,2025-06-09 12:53:29.625020,2025-06-09 12:53:29.625041,,P4O69,SAFA TSWELOPELE LFA,,,,,4,10
66,2025-06-09 12:53:29.630073,2025-06-09 12:53:29.630092,,TM7RJ,SAFA BLOEMFONTEIN LFA,,,,,4,11
67,2025-06-09 12:53:29.632237,2025-06-09 12:53:29.632257,,HLOTG,SAFA BOTSHABELO LFA,,,,,4,11
68,2025-06-09 12:53:29.635135,2025-06-09 12:53:29.635163,,2RIT5,SAFA THABA NCHU LFA,,,,,4,11
69,2025-06-09 12:53:29.640321,2025-06-09 12:53:29.640341,,1OT5Y,SAFA DIHLABENG LFA,,,,,4,12
70,2025-06-09 12:53:29.642595,2025-06-09 12:53:29.642614,,QC1VD,SAFA MALUTI-A-PHOFUNG LFA,,,,,4,12
71,2025-06-09 12:53:29.644801,2025-06-09 12:53:29.644820,,NB2D7,SAFA MANTSOPA LFA,,,,,4,12
72,2025-06-09 12:53:29.646956,2025-06-09 12:53:29.646976,,6M8MC,SAFA NKETOANE LFA,,,,,4,12
73,2025-06-09 12:53:29.649342,2025-06-09 12:53:29.649370,,EBG5K,SAFA PHUMELELA LFA,,,,,4,12
74,2025-06-09 12:53:29.652641,2025-06-09 12:53:29.652700,,6T7AD,SAFA SETSOTO LFA,,,,,4,12
75,2025-06-09 12:53:29.657756,2025-06-09 12:53:29.657777,,FNOF6,SAFA KOPANONG LFA,,,,,4,13
76,2025-06-09 12:53:29.659935,2025-06-09 12:53:29.659955,,N5O38,SAFA LETSEMENG LFA,,,,,4,13
77,2025-06-09 12:53:29.662189,2025-06-09 12:53:29.662209,,GLAH2,SAFA MOHOKARE LFA,,,,,4,13
78,2025-06-09 12:53:29.664473,2025-06-09 12:53:29.664493,,J97E7,SAFA NALEDI LFA,,,,,4,13
79,2025-06-09 12:53:29.671431,2025-06-09 12:53:29.671456,,LAWM2,SAFA BENONI NORTH LFA,,,,,4,14
80,2025-06-09 12:53:29.673714,2025-06-09 12:53:29.673735,,TABTK,SAFA BENONI SOUTH LFA,,,,,4,14
81,2025-06-09 12:53:29.675902,2025-06-09 12:53:29.675922,,AAGRM,SAFA BOKSBURG & CENTRAL LFA,,,,,4,14
82,2025-06-09 12:53:29.678140,2025-06-09 12:53:29.678160,,8XE5K,SAFA BRAKPAN LFA,,,,,4,14
83,2025-06-09 12:53:29.680303,2025-06-09 12:53:29.680322,,YBBQ9,SAFA DUKATHOLE LFA,,,,,4,14
84,2025-06-09 12:53:29.682584,2025-06-09 12:53:29.682612,,TPFX7,SAFA EASTERNS LFA,,,,,4,14
85,2025-06-09 12:53:29.685232,2025-06-09 12:53:29.685257,,MW9TB,SAFA EDEN PARK LFA,,,,,4,14
86,2025-06-09 12:53:29.688260,2025-06-09 12:53:29.688285,,815Y7,SAFA KATLEHONG LFA,,,,,4,14
87,2025-06-09 12:53:29.690624,2025-06-09 12:53:29.690648,,FZO5Y,SAFA NIGEL LFA,,,,,4,14
88,2025-06-09 12:53:29.692937,2025-06-09 12:53:29.692958,,NPT5F,SAFA PAYNEVILLE LFA,,,,,4,14
89,2025-06-09 12:53:29.695181,2025-06-09 12:53:29.695201,,U6U77,SAFA SPRINGS LFA,,,,,4,14
90,2025-06-09 12:53:29.697370,2025-06-09 12:53:29.697389,,2ZH8C,SAFA THEMBISA LFA,,,,,4,14
91,2025-06-09 12:53:29.699910,2025-06-09 12:53:29.699933,,QE5SZ,SAFA THOKOZA LFA,,,,,4,14
92,2025-06-09 12:53:29.702242,2025-06-09 12:53:29.702262,,G1JT4,SAFA VOSLOORUS LFA,,,,,4,14
93,2025-06-09 12:53:29.704438,2025-06-09 12:53:29.704458,,FWFYV,SAFA ZONKEZIZWE LFA,,,,,4,14
94,2025-06-09 12:53:29.709564,2025-06-09 12:53:29.709586,,0OBWF,SAFA ALEX NORTH RAND LFA,,,,,4,15
95,2025-06-09 12:53:29.711807,2025-06-09 12:53:29.711827,,GOODF,SAFA DEEP SOUTH LFA,,,,,4,15
96,2025-06-09 12:53:29.714051,2025-06-09 12:53:29.714070,,6QGAM,SAFA ELDORADO LFA,,,,,4,15
97,2025-06-09 12:53:29.716419,2025-06-09 12:53:29.716439,,3VCQV,SAFA GREATER MAYFAIR LFA,,,,,4,15
98,2025-06-09 12:53:29.719154,2025-06-09 12:53:29.719189,,BN4ZU,SAFA JOWEST LFA,,,,,4,15
99,2025-06-09 12:53:29.722271,2025-06-09 12:53:29.722297,,16AO4,SAFA MIDRAND LFA,,,,,4,15
100,2025-06-09 12:53:29.724565,2025-06-09 12:53:29.724585,,EYJN6,SAFA ORANGE FARM LFA,,,,,4,15
101,2025-06-09 12:53:29.726750,2025-06-09 12:53:29.726771,,YGKDO,SAFA RAND CENTRAL LFA,,,,,4,15
102,2025-06-09 12:53:29.728961,2025-06-09 12:53:29.728981,,LZR3I,SAFA ROODEPOORT LFA,,,,,4,15
103,2025-06-09 12:53:29.731113,2025-06-09 12:53:29.731132,,Q8B0I,SAFA SOUTHERN LFA,,,,,4,15
104,2025-06-09 12:53:29.733437,2025-06-09 12:53:29.733457,,QNZDA,SAFA SOWETO LFA,,,,,4,15
105,2025-06-09 12:53:29.735618,2025-06-09 12:53:29.735637,,TDYGZ,SAFA UPPER SOWETO LFA,,,,,4,15
106,2025-06-09 12:53:29.740309,2025-06-09 12:53:29.740328,,EB07X,SAFA EMFULENI LFA,,,,,4,16
107,2025-06-09 12:53:29.742460,2025-06-09 12:53:29.742479,,ZAN42,SAFA LESEDI LFA,,,,,4,16
108,2025-06-09 12:53:29.744585,2025-06-09 12:53:29.744605,,PY6LK,SAFA MIDVAAL LFA,,,,,4,16
109,2025-06-09 12:53:29.749340,2025-06-09 12:53:29.749359,,8ICLL,SAFA EERSTERUS LFA,,,,,4,17
110,2025-06-09 12:53:29.751841,2025-06-09 12:53:29.751867,,BNQBR,SAFA GA-RANKUWA LFA,,,,,4,17
111,2025-06-09 12:53:29.755610,2025-06-09 12:53:29.755670,,TGHT3,SAFA HAMMANSKRAAL LFA,,,,,4,17
112,2025-06-09 12:53:29.759895,2025-06-09 12:53:29.759939,,AGKPL,SAFA KULFA LFA,,,,,4,17
113,2025-06-09 12:53:29.764188,2025-06-09 12:53:29.764238,,4YVT4,SAFA LAUDIUM LFA,,,,,4,17
114,2025-06-09 12:53:29.768941,2025-06-09 12:53:29.768989,,OVE5O,SAFA LOTUS GARDEN LFA,,,,,4,17
115,2025-06-09 12:53:29.773325,2025-06-09 12:53:29.773372,,W860F,SAFA MABOPANE LFA,,,,,4,17
116,2025-06-09 12:53:29.777459,2025-06-09 12:53:29.777508,,1I8Y3,SAFA MAMELODI LFA,,,,,4,17
117,2025-06-09 12:53:29.781725,2025-06-09 12:53:29.781768,,B1ZIQ,SAFA NOLFA LFA,,,,,4,17
118,2025-06-09 12:53:29.785565,2025-06-09 12:53:29.785604,,QWKJY,SAFA OLFA LFA,,,,,4,17
119,2025-06-09 12:53:29.789496,2025-06-09 12:53:29.789546,,64IJ7,SAFA PHELINDABA LFA,,,,,4,17
120,2025-06-09 12:53:29.793709,2025-06-09 12:53:29.793757,,U2ETT,SAFA PRETORIA LFA,,,,,4,17
121,2025-06-09 12:53:29.797562,2025-06-09 12:53:29.797603,,ZRVHK,SAFA SELFA LFA,,,,,4,17
122,2025-06-09 12:53:29.801163,2025-06-09 12:53:29.801209,,S3X4H,SAFA SOSHANGUVE LFA,,,,,4,17
123,2025-06-09 12:53:29.805498,2025-06-09 12:53:29.805549,,BK7R6,SAFA WEST END LFA,,,,,4,17
124,2025-06-09 12:53:29.809263,2025-06-09 12:53:29.809300,,GGEP9,SAFA WINTERVELDT LFA,,,,,4,17
125,2025-06-09 12:53:29.818237,2025-06-09 12:53:29.818277,,TRZZ0,SAFA MERAFONG LFA,,,,,4,18
126,2025-06-09 12:53:29.821593,2025-06-09 12:53:29.821627,,WJO4G,SAFA MOGALE LFA,,,,,4,18
127,2025-06-09 12:53:29.824914,2025-06-09 12:53:29.824943,,3SV4M,SAFA RANDFONTEIN LFA,,,,,4,18
128,2025-06-09 12:53:29.827718,2025-06-09 12:53:29.827761,,GTI5F,SAFA WESTONARIA LFA,,,,,4,18
129,2025-06-09 13:21:59.222115,2025-06-09 13:21:59.222150,,MGJMH,SAFA DANNHAUSER LFA,,,,,4,19
130,2025-06-09 13:21:59.239867,2025-06-09 13:21:59.239896,,KZW8V,SAFA EMANDLANGENI LFA,,,,,4,19
131,2025-06-09 13:21:59.243450,2025-06-09 13:21:59.243487,,POP8I,SAFA NEWCASTLE LFA,,,,,4,19
132,2025-06-09 13:24:17.831673,2025-06-09 13:24:17.831729,,IFJSO,SAFA AMANZIMTOTI LFA,,,,,4,20
133,2025-06-09 13:24:17.834604,2025-06-09 13:24:17.834629,,WKBK5,SAFA CHATSWORTH LFA,,,,,4,20
